tokens,count
"""i",70098
didn't,43046
him.,38985
don't,38033
"""you",34658
-,34532
it's,33214
has,32197
looked,31731
"him,",30482
"said,",28578
achilles,28182
i'm,28142
patroclus,27362
hades,27223
it.,26598
her.,25509
wasn't,22768
"her,",21358
hands,21356
persephone,18668
"it,",18415
zeus,18409
he's,18041
you're,17966
wanted,17821
couldn't,17166
"you,",16806
he'd,16000
asked,15102
"""what",15069
can't,15032
apollo,14819
them.,14540
"me,",14247
doesn't,14087
"""and",13948
things,13910
seemed,13647
"""i'm",13616
me.,13283
said.,12752
again.,12661
that's,12461
"""but",12153
"again,",11609
heard,11479
gods,11422
wouldn't,11392
fingers,11179
started,10942
"now,",10804
"them,",10718
lips,10709
you.,10675
held,10664
"you.""",10602
pulled,10551
ares,10306
"that,",10232
eyes.,10213
having,10082
hera,9878
she's,9818
"""the",9795
words,9668
hadn't,9563
"""it's",9530
hermes,9502
"""",9433
"up,",9415
smiled,9163
i'll,9162
she'd,9136
"asked,",9060
aphrodite,9044
"""it",9035
nabiki,8870
face.,8763
began,8638
i've,8627
"time,",8413
head.,8355
that.,8350
"back,",8078
"""we",8026
up.,7932
years,7928
"eyes,",7895
won't,7838
back.,7826
ganymede,7712
harry,7630
called,7574
isn't,7529
walked,7484
needed,7459
ranma,7439
time.,7394
says,7346
reached,7240
artemis,7226
now.,7157
"out,",7123
asked.,7093
out.,7052
"well,",7043
"me.""",6911
"""you're",6891
there's,6880
--,6734
stiles,6660
knows,6644
"replied,",6604
away.,6545
stared,6397
"""if",6353
moved,6282
makes,6274
feet,6265
demeter,6222
"you?""",6196
athena,6142
"""he",6112
"""that",6108
"""my",6059
"head,",6042
"then,",6017
"it.""",6013
.,5981
"here,",5980
ariadne,5976
"""how",5976
nodded,5904
...,5890
"this,",5779
"there,",5746
i'd,5644
opened,5633
feels,5622
"""do",5557
"hand,",5516
hand.,5503
tears,5471
"away,",5434
takes,5402
paris,5387
"face,",5362
loved,5343
"""oh,",5317
"""why",5239
"was,",5237
"""don't",5229
"""so",5190
"says,",5180
leaned,5145
"""that's",5136
they're,5112
"all,",5075
this.,5044
"moment,",5019
room.,5005
you've,5000
"""this",4937
we're,4921
legs,4893
odysseus,4884
loki,4860
"""well,",4853
"you,""",4851
glanced,4845
all.,4839
pressed,4828
"down,",4818
happened,4796
pulling,4783
wants,4744
others,4728
"however,",4659
here.,4633
louis,4631
there.,4626
achilles',4626
dionysus,4618
kissed,4598
"so,",4540
"""are",4510
seems,4466
followed,4384
de,4383
"""oh",4379
became,4379
"""is",4352
castiel,4323
well.,4319
helen,4307
"""yes,",4278
pushed,4273
"""not",4258
himself.,4247
down.,4240
noticed,4218
"no,",4185
kara,4180
poseidon,4169
grabbed,4164
"""no,",4130
"room,",4128
in.,4109
managed,4104
letting,4102
was.,4100
"course,",4067
"know,",4019
realized,3999
"""a",3996
women,3980
you'll,3945
hector,3939
"me?""",3919
way.,3907
"""she",3892
"way,",3874
eros,3859
"""i'll",3850
"too,",3845
more.,3823
sighed,3821
chest.,3786
too.,3765
smile.,3736
allowed,3729
shoulders,3712
"day,",3677
"on,",3645
before.,3630
hands.,3626
lips.,3613
kasumi,3599
to.,3593
"in,",3510
laughed,3508
zeus',3505
"it?""",3500
"smiled,",3500
gets,3458
passed,3454
"gods,",3430
life.,3424
mortals,3414
derek,3405
ones,3401
patroclus',3396
they'd,3391
"""no",3386
killed,3368
"that.""",3361
weren't,3340
"bed,",3334
says.,3332
"himself,",3332
placed,3325
apollo's,3320
"me,""",3316
hair.,3304
"hair,",3289
what's,3287
thinks,3286
"""your",3282
one.,3281
friends,3277
hips,3275
father's,3262
"""of",3260
"yes,",3245
body.,3244
"one,",3232
alex,3227
"that?""",3220
thoughts,3215
bed.,3203
"""then",3201
on.,3198
"side,",3190
mother's,3190
"""they",3186
off.,3176
"hands,",3164
know.,3148
together.,3139
haven't,3125
mouth.,3119
moment.,3114
do.,3110
thor,3106
wondered,3102
"around,",3084
appeared,3083
liked,3076
sounds,3064
"""thank",3063
lifted,3061
"still,",3061
using,3051
nodded.,3042
dropped,3040
shoulder.,3032
voice.,3029
gonna,3017
flowers,3017
remembered,3016
"night,",3009
"life,",3005
aren't,3005
akane,2989
"""yeah,",2988
door.,2967
you'd,2959
hephaestus,2955
"""just",2952
side.,2945
"nodded,",2924
hades',2924
be.,2923
greek,2911
"sighed,",2909
other.,2903
"though,",2900
day.,2896
"before,",2864
mind.,2854
"man,",2850
did.,2839
diomedes,2835
"and,",2829
"together,",2821
arms.,2818
atalanta,2807
"say,",2803
shouldn't,2800
agamemnon,2784
"body,",2780
"off,",2778
replied,2778
"""i've",2777
"chest,",2770
home.,2766
"here.""",2765
sam,2754
persephone's,2750
hours,2734
skin.,2717
helped,2704
icarus,2699
"right,",2697
place.,2680
ukyo,2672
knees,2667
"more,",2657
"is,",2654
"it,""",2644
"to,",2633
playing,2628
wings,2623
olympus,2611
right.,2611
"""there",2607
"long,",2603
sees,2598
lena,2584
expected,2576
"oh,",2571
ground.,2556
thanatos,2554
menelaos,2552
night.,2551
asking,2547
cheeks,2540
months,2539
"later,",2534
"do,",2529
missed,2529
offered,2529
"mother,",2526
hyacinthus,2524
"him.""",2520
sounded,2494
not.,2489
"mouth,",2486
neck.,2483
sighed.,2474
"arms,",2473
hestia,2467
breath.,2461
humans,2456
"god,",2438
walls,2427
man's,2423
minutes,2422
*,2420
hektor,2401
"father,",2398
waited,2396
girls,2396
we'll,2385
thought.,2383
"hades,",2365
"smile,",2365
herself.,2365
"other,",2361
"""did",2361
caused,2356
remained,2356
putting,2354
throat.,2354
"first,",2348
"yet,",2344
own.,2342
kisses,2341
"skin,",2333
"mind,",2329
"us,",2329
moments,2329
over.,2316
world.,2304
smiles,2300
"now.""",2300
"love,",2298
words.,2298
love.,2295
changed,2292
arthur,2287
"slowly,",2287
us.,2284
let's,2283
"lips,",2272
kore,2266
"over,",2255
"breath,",2253
man.,2250
"""what?""",2244
gives,2239
"neck,",2226
"""hey,",2224
go.,2220
"shoulder,",2213
"voice,",2208
briseis,2207
feet.,2203
"did,",2201
"""what's",2200
"""he's",2199
"""as",2197
"""come",2192
showed,2187
"""who",2184
"forward,",2180
zagreus,2178
died,2175
"ground,",2173
tells,2171
"zeus,",2170
hecate,2166
"that,""",2158
you?,2156
hated,2150
replied.,2142
air.,2135
"here?""",2133
mother.,2115
floor.,2114
alone.,2110
heart.,2110
hoping,2109
finds,2105
"instead,",2103
"words,",2099
"mean,",2092
"once,",2089
"not,",2080
it?,2077
"home,",2075
gods.,2074
tries,2072
reminded,2052
"feet,",2049
so.,2049
parents,2048
hades.,2046
"be,",2043
enough.,2042
water.,2037
"door,",2035
"herself,",2027
bringing,2022
god's,2017
pulls,1995
around.,1993
memories,1991
lives,1984
waves,1981
god.,1976
shared,1975
father.,1965
bruce,1965
