class_label,class_name,metric,mean,std
0,Chicago,precision,0.989873734441353,0.0017825275195280947
0,Chicago,recall,0.9994100294985252,0.0011799410029498692
0,Chicago,f1,0.9946171891368303,0.0006886691897946556
1,Fanfics,precision,0.4562571913809704,0.017548580197681466
1,Fanfics,recall,0.5098380678078956,0.02739431851023912
1,Fanfics,f1,0.4813592211543435,0.01980305232526703
2,Simplestories,precision,0.715237498696583,0.011735741904339137
2,Simplestories,recall,0.7145804783251651,0.047690362788325225
2,Simplestories,f1,0.7140501471590656,0.02464167979606712
3,Storyscope Claude,precision,0.6264904033765056,0.020116911334720922
3,Storyscope Claude,recall,0.769475801144326,0.017226275404974633
3,Storyscope Claude,f1,0.6904886599874042,0.016100570500076426
4,Storyscope Deepseek,precision,0.3603929827373857,0.005645208271756787
4,Storyscope Deepseek,recall,0.2960269899890832,0.005744688646713367
4,Storyscope Deepseek,f1,0.32504329599518383,0.0054656984674482535
5,Storyscope Gemini,precision,0.41467467835583455,0.02410440799354815
5,Storyscope Gemini,recall,0.40854121663995535,0.019555956653378476
5,Storyscope Gemini,f1,0.41093685780973904,0.014771879207654047
6,Storyscope Gpt,precision,0.39816217334878773,0.011158523391972151
6,Storyscope Gpt,recall,0.34775838307822143,0.016191010103357318
6,Storyscope Gpt,f1,0.3710190162605117,0.011282934970306137
7,Storyscope Kimi,precision,0.36024640401738484,0.011485488465465522
7,Storyscope Kimi,recall,0.34598943937317567,0.021819915690101766
7,Storyscope Kimi,f1,0.35280638877392717,0.01602267977360893
