class_label,class_name,metric,mean,std
0,Chicago,precision,0.9900745037558443,0.0035750875944053654
0,Chicago,recall,0.9996064927724742,0.0004819460559399533
0,Chicago,f1,0.9948150854027095,0.002011457952262881
1,Fanfics,precision,0.6771465011667935,0.030966118384468035
1,Fanfics,recall,0.6457472959685349,0.018690225033808357
1,Fanfics,f1,0.6604833877692806,0.015435112248164526
2,Simplestories,precision,0.8197195769376135,0.019875192252175503
2,Simplestories,recall,0.7710513785334355,0.04374967131605905
2,Simplestories,f1,0.7936159569933262,0.020207806534496515
3,Storyscope,precision,0.6805073643498042,0.024093571856508258
3,Storyscope,recall,0.741928746738516,0.022037401574019
3,Storyscope,f1,0.7091976020434708,0.007476569127389852
