class_label,class_name,metric,mean,std
0,Chicago,precision,0.9996074582924436,0.0007850834151128526
0,Chicago,recall,0.9996066863323501,0.00048170889730248185
0,Chicago,f1,0.9996067827796177,0.0003676274870572883
1,Fanfics,precision,0.9571369894614602,0.011172643164140399
1,Fanfics,recall,0.940989981340828,0.011097848066306587
1,Fanfics,f1,0.9489225274941837,0.007467749539920507
2,Simplestories,precision,0.9810488139939466,0.0018098158376222005
2,Simplestories,recall,0.9669566193606329,0.008212766433135238
2,Simplestories,f1,0.9739316204156243,0.004082671830688667
3,Storyscope Claude,precision,0.9830477650881493,0.0034052147173448716
3,Storyscope Claude,recall,0.9807251140067669,0.005949173681433795
3,Storyscope Claude,f1,0.9818775797227935,0.004035198428483135
4,Storyscope Deepseek,precision,0.965005326019552,0.008152512836627006
4,Storyscope Deepseek,recall,0.9752163999411578,0.006137310407863472
4,Storyscope Deepseek,f1,0.9700713794054915,0.006333597542576771
5,Storyscope Gemini,precision,0.9788513460804182,0.004561612127452805
5,Storyscope Gemini,recall,0.9815111606624394,0.007018087133352817
5,Storyscope Gemini,f1,0.9801544522493341,0.0032761264535947194
6,Storyscope Gpt,precision,0.9811251506701686,0.005058855691488434
6,Storyscope Gpt,recall,0.9911475390797388,0.0034674492489295593
6,Storyscope Gpt,f1,0.9861081189493663,0.004023823380815201
7,Storyscope Kimi,precision,0.9622161560853897,0.0020754668686237803
7,Storyscope Kimi,recall,0.9716771576119356,0.008734152872296237
7,Storyscope Kimi,f1,0.9669029959857698,0.004498255168490595
