class_label,class_name,metric,mean,std
0,Chicago,precision,0.9900665813599032,0.002469811045393789
0,Chicago,recall,0.9992133726647001,0.0003933136676499415
0,Chicago,f1,0.9946175717779508,0.0013418205391675288
1,Fanfics,precision,0.45577619416327686,0.016420545242011735
1,Fanfics,recall,0.5102292523169117,0.02145442497137266
1,Fanfics,f1,0.4809318795988101,0.00933084711431081
2,Simplestories,precision,0.7157547440083567,0.011852238694527726
2,Simplestories,recall,0.7138201751329756,0.04451088545231869
2,Simplestories,f1,0.7138719653116505,0.020539149266497622
3,Storyscope Claude,precision,0.6230278035158955,0.02237773460340302
3,Storyscope Claude,recall,0.7651448989230328,0.00749324211079014
3,Storyscope Claude,f1,0.6866786320006566,0.016383867011771025
4,Storyscope Deepseek,precision,0.3645320635875763,0.008439424412769325
4,Storyscope Deepseek,recall,0.30035595661161824,0.006299616370513088
4,Storyscope Deepseek,f1,0.32931443587695297,0.006478804484524704
5,Storyscope Gemini,precision,0.41546289755508975,0.03659466788706059
5,Storyscope Gemini,recall,0.40518798535138856,0.02081717691034959
5,Storyscope Gemini,f1,0.4099492644865202,0.026934045924578105
6,Storyscope Gpt,precision,0.40125106591826787,0.024293701827306887
6,Storyscope Gpt,recall,0.35031337343893965,0.01781860646968744
6,Storyscope Gpt,f1,0.37401118177100273,0.020413739494131524
7,Storyscope Kimi,precision,0.3584374534504594,0.009575984566096957
7,Storyscope Kimi,recall,0.34579316965910234,0.020065684793210897
7,Storyscope Kimi,f1,0.3517508658348448,0.013244241842625527
