class_label,class_name,metric,mean,std
0,Chicago,precision,0.9992153010516585,0.0011433902237884936
0,Chicago,recall,0.9998033431661749,0.0003933136676499416
0,Chicago,f1,0.999508792308626,0.0005377738820093879
1,Fanfics,precision,0.971946533644009,0.006769003138982162
1,Fanfics,recall,0.9602671900525708,0.005921520638573186
1,Fanfics,f1,0.966066047073215,0.005918638768980355
2,Simplestories,precision,0.983296917132015,0.002061496101790555
2,Simplestories,recall,0.9722628697961427,0.008062570492732445
2,Simplestories,f1,0.9777297549684241,0.004105988497388053
3,Storyscope,precision,0.9638947271084508,0.006361031884212254
3,Storyscope,recall,0.9856399863733847,0.004846402264897584
3,Storyscope,f1,0.9746231759378338,0.003175842572406272
