class_label,class_name,metric,mean,std
0,Chicago,precision,0.9898731537780119,0.0023236886179121615
0,Chicago,recall,0.9992131791048242,0.00039341062614858027
0,Chicago,f1,0.9945198658618974,0.0012062268953128502
1,Fanfics,precision,0.6779865516783349,0.03038048446968476
1,Fanfics,recall,0.6512550422347649,0.02429962011431927
1,Fanfics,f1,0.6640854830630626,0.02384224540115381
2,Simplestories,precision,0.8222226042224803,0.011009110096477216
2,Simplestories,recall,0.7728183866397231,0.03417561145906027
2,Simplestories,f1,0.7964418080976082,0.02134302752318707
3,Storyscope,precision,0.6820793244108824,0.02168080292570549
3,Storyscope,recall,0.7421304361291122,0.010327305931446502
3,Storyscope,f1,0.7106461083956228,0.013394922048174511
