word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,auditory.sd,gustatory.sd,haptic.sd,interoceptive.sd,olfactory.sd,visual.sd,foot_leg.sd,hand_arm.sd,head.sd,mouth.sd,torso.sd
a,2.214285714,0.0,0.428571429,0.0,0.0,2.428571429,0.0,0.357142857,1.071428571,0.357142857,0.0,2.259290952,0.0,0.937614462,0.0,0.0,2.408775166,0.0,1.33630621,2.129076568,1.33630621,0.0
a cappella,4.333333333,0.0,0.222222222,0.722222222,0.0,1.666666667,0.380952381,0.428571429,2.714285714,3.714285714,1.0,1.608799333,0.0,0.548318881,1.363626461,0.0,1.909727421,0.973457265,1.075705748,1.901127485,1.847778589,1.449137675
aardvark,1.625,0.5625,1.625,0.0625,1.25,4.125,0.176470588,0.705882353,2.235294118,0.058823529,0.058823529,1.784189825,1.263262971,1.927865832,0.25,1.879716291,1.258305739,0.52859414,1.311711948,1.92124347,0.242535625,0.242535625
aback,1.294117647,0.058823529,0.294117647,1.352941176,0.0,2.823529412,0.0,0.0,3.272727273,0.363636364,0.181818182,1.896203638,0.242535625,0.985184366,1.800735144,0.0,2.007339474,0.0,0.0,1.902151891,0.924416278,0.603022689
abacus,1.555555556,0.166666667,3.722222222,0.277777778,0.111111111,3.944444444,0.0,2.473684211,2.631578947,0.105263158,0.0,1.616904167,0.514495755,1.40610248,0.669113158,0.471404521,1.304842664,0.0,2.269812059,2.191157135,0.315301768,0.0
abandon,0.941176471,0.117647059,0.294117647,2.117647059,0.058823529,2.176470588,1.1,0.7,2.45,0.55,0.9,1.088036548,0.332105582,0.469668218,1.866894244,0.242535625,1.975958442,1.803505359,1.454575359,2.064104241,1.234376041,1.586124041
abandoned,1.444444444,0.0,0.055555556,1.666666667,0.0,2.777777778,1.315789474,1.052631579,2.631578947,0.894736842,0.789473684,1.822158456,0.0,0.23570226,2.169304578,0.0,1.986885104,1.887168119,1.470966584,2.165654284,1.410072372,1.512134157
abandonee,1.9375,0.0,1.375,0.5625,0.25,3.9375,0.764705882,0.882352941,1.823529412,0.941176471,1.058823529,1.842778699,0.0,1.892969449,1.412739655,1.0,1.388944443,1.480262298,1.536324874,1.91165158,1.675954513,1.599632311
abandoner,0.571428571,0.0,0.142857143,1.642857143,0.0,2.214285714,0.944444444,1.277777778,1.722222222,1.0,0.444444444,0.851630627,0.0,0.36313652,1.984832597,0.0,1.847183779,1.625973816,1.872574684,2.023554111,1.571810496,0.983524408
abandonment,2.133333333,0.066666667,1.2,2.933333333,0.066666667,3.0,0.523809524,0.428571429,2.142857143,0.714285714,0.333333333,1.726543478,0.25819889,1.740279124,1.79151439,0.25819889,1.963961012,1.400680107,0.978336781,1.956673562,1.27054544,0.966091783
abasement,2.833333333,0.166666667,0.666666667,1.25,0.166666667,3.0,0.428571429,0.952380952,2.142857143,1.571428571,0.666666667,1.898963034,0.389249472,0.984731928,1.544785952,0.389249472,1.59544807,0.870139562,1.745743122,2.128044038,2.134746556,1.316561177
abbreviate,2.4,0.0,0.15,0.45,0.0,2.65,0.157894737,2.105263158,2.0,1.789473684,0.210526316,1.875043859,0.0,0.489360485,1.145931017,0.0,1.843195166,0.501459857,1.940639552,2.081665999,1.718492471,0.713282504
abbreviated,1.888888889,0.0,0.277777778,0.444444444,0.0,3.111111111,0.3,0.8,2.2,2.25,0.3,2.083235292,0.0,0.826442095,0.921777198,0.0,2.083235292,0.923380517,1.321880638,2.015727634,1.743408639,0.656946685
abbreviation,2.736842105,0.052631579,0.157894737,0.473684211,0.0,3.947368421,0.0,0.444444444,1.333333333,1.111111111,0.0,1.790161547,0.229415734,0.688247202,1.428613199,0.0,1.432700799,0.0,1.041617646,1.970368732,1.567646752,0.0
