work_id,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,rating,category,relationship,character,additional tags,lemma,lemma_lower,Word
4274,1.641436034414959,0.43678430590573775,1.1498091535686477,1.2105398815522541,0.5926643541885246,2.533544861204918,0.982517309007172,1.364382213407787,2.229337888185451,1.3650690587305327,0.9518818310942623,General Audiences,['Gen'],[''],"['Athena', 'Medusa']",['Yuletide'],the,the,THE
4605,1.7301623138230133,0.44777498705070695,1.2273371430828863,1.1855569623281328,0.5882245395065822,2.708559364830814,0.9783118442964408,1.397206892843491,2.2954639865285227,1.4626272402857143,1.0050459331872257,Explicit,['F/F'],['Grace (Aphrodite)/Phoebe'],"['Phoebe Valentine', 'Ari Valentine (Ares)', 'Grace Valentine (Aphrodite)']","['Femslash', 'Yuletide', 'Challenge Response', 'Reincarnation', 'POV Female Character', 'Women Being Awesome', 'Rare Pairing']",Phoebe,phoebe,
12572,1.499535309909091,0.45133252976723276,1.335891885956044,1.0346347316553448,0.5067411492277722,2.7060714000419583,0.9614229931018982,1.426683926036963,1.9823142324575425,1.2960770903846153,0.8769374048031968,Mature,['F/M'],['Hades/Persephone'],"['Hades', 'Persephone']","['Yuletide', 'recipient:Lily', 'challenge:Yuletide 2007', 'Food As Sex Toys', 'Requited Love', 'one of my best', 'If you only read one work by me', 'One of My Favorites']",it,it,IT
17176,1.7202077090107526,0.46034572786111116,1.3840757130672043,1.4718723431003584,0.6232183932329749,2.5641999880089608,1.1184064417571684,1.5261530331675626,2.3723880015035843,1.5974975032562724,1.113818301454301,Explicit,['M/M'],['Achilles/Patroclus'],"['Achilles (Greek and Roman Mythology)', 'Achilles (Homer)', 'Patroklos (Homer)', 'Patroclus (Greek and Roman Mythology)']","['Yuletide', '1000-3000 words', 'POV Second Person']",when,when,WHEN
17260,1.9619805480444446,0.3011014495111111,1.0877020189222222,1.1609277493555556,0.5457729078888889,2.4642168269333333,0.9682768756111112,1.306701532511111,2.1607079131666667,1.5421276128777777,0.9038715573222222,Teen And Up Audiences,['Gen'],[''],['Achilles'],"['Drabble', '100-1000 Words']",his,his,HIS
17262,1.5842955710813953,0.4154329866627907,1.0062623374069768,1.0713353007790696,0.5141186937441861,2.5523735426860465,0.8782868408023256,1.256071660755814,2.1342268802209303,1.1914410014186048,0.7967543464767443,General Audiences,['Gen'],[''],['Charon'],"['Drabble', '100-1000 Words']",after,after,AFTER
17263,1.6080304971494253,0.47833038039080455,1.1991186806206895,1.2969838182528737,0.5724341346896552,2.216148261448276,1.0062880453793104,1.3641167127586207,2.16435884008046,1.3424674649655173,1.0043780960574713,Teen And Up Audiences,['M/M'],['Achilles/Patroclus'],"['Achilles (Greek and Roman Mythology)', 'Patroclus (Greek and Roman Mythology)', 'Achilles (Homer)', 'Patroklos (Homer)']",['Comment Fic'],there,there,THERE
17264,1.687505952606541,0.40372811874281467,1.0652671256080277,1.2240257988468781,0.5103424903652132,2.389508391273538,0.9527460152705649,1.3434236668067394,2.157970203811695,1.3741207661382557,0.9118419424028742,Mature,['M/M'],['Achilles/Patroclus'],"['Achilles (Greek and Roman Mythology)', 'Achilles (Homer)', 'Patroclus (Greek and Roman Mythology)', 'Patroklos (Homer)']","['5 Things', '1000-3000 words']",a.,a.,
17265,1.5040447648214286,0.2773107635238095,1.1168818783690475,1.0183339557738096,0.40241017461904766,2.508612280690476,1.05135077,1.3540905691666667,2.0670212811666664,1.1549584530357142,0.9313996436071429,General Audiences,['Gen'],[''],"['Hector', 'Achilles']","['100-1000 Words', 'Drabble']",hector,hector,
17266,1.814011151652174,0.36364772177173915,0.9508045328478261,1.1875239069891304,0.45106874253260865,2.3675355370652174,1.0389235486413042,1.411022649521739,2.1353617628478263,1.4646105222934782,0.9196576093152175,General Audiences,['Gen'],[''],['Odysseus'],"['Drabble', 'Challenge Response', '100-1000 Words']",achille,achille,
