class_label,class_name,metric,mean,std
0,Chicago,precision,0.9963856444772332,0.0017768051667840371
0,Chicago,recall,1.0,0.0
0,Chicago,f1,0.9981887559185296,0.0008927035397359964
1,Fanfics,precision,0.7338237473263838,0.017592426715916015
1,Fanfics,recall,0.8021782420399441,0.009471782472639573
1,Fanfics,f1,0.7663592453957782,0.011269430831521026
2,Simplestories,precision,0.6264744142875833,0.00945131055392088
2,Simplestories,recall,0.5771805579016901,0.025609493770069245
2,Simplestories,f1,0.6006533039078507,0.017804961003087694
3,Storyscope,precision,0.6911031401701652,0.007948889731405399
3,Storyscope,recall,0.6784008505418511,0.012118812685051553
3,Storyscope,f1,0.6846596921576473,0.009121180768540887
