class_label,class_name,metric,mean,std
0,Chicago,precision,0.9965999125212143,0.0006367183622905597
0,Chicago,recall,0.9995599559955994,0.00041162347489261396
0,Chicago,f1,0.9980775714776595,0.00034674046925616995
1,Fanfics,precision,0.7136517428570761,0.021339769893760734
1,Fanfics,recall,0.710858394590147,0.005377219250547467
1,Fanfics,f1,0.7121112992790382,0.012052548493235107
2,Simplestories,precision,0.8274385793653476,0.006029289142099051
2,Simplestories,recall,0.7845666129628924,0.04103799745433975
2,Simplestories,f1,0.8047939398321657,0.021166199262390908
3,Storyscope,precision,0.7112753649347765,0.010499330118867348
3,Storyscope,recall,0.7478263291381422,0.01209934636132373
3,Storyscope,f1,0.7289743268562326,0.006370311710936184
